113 17 57 42.66 +04 23 59.1 RRAB 
114 17 57 44.84 +07 32 52.6 RRC: 
115 17 57 46.82 +05 55 29.1 EW   
116 17 57 58.89 +04 09 47.6 EB   
117 17 58 01.29 +05 49 26.7 EB   
118 17 58 05.41 +09 02 33.3 RRAB 
119 17 58 07.94 +08 22 59.0 RRAB 
120 17 58 09.44 +08 05 09.5 RRAB 
121 17 58 21.36 +06 35 08.4 LB   
122 17 58 22.55 +05 53 15.2 EB   
123 17 58 28.58 +06 10 01.1 LB   
124 17 58 34.10 +06 02 56.6 LB:  
125 17 58 34.73 +05 01 06.0 LB   
126 17 58 40.05 +04 54 16.7 EB   
127 17 58 48.46 +07 16 42.6 EA   
128 17 58 59.30 +04 20 03.2 RRC  
129 17 59 11.58 +09 01 53.0 EA   
130 17 59 12.18 +07 52 05.4 LB   
131 17 59 15.95 +05 13 13.7 RRC  
132 17 59 19.71 +07 51 04.9 RRAB 
133 17 59 22.50 +05 07 33.1 EB   
134 17 59 29.36 +04 32 33.2 LB   
135 17 59 29.41 +08 45 41.8 EA   
136 17 59 39.81 +04 59 51.3 SR   
137 17 59 47.76 +09 22 41.9 RRC  
138 17 59 48.51 +08 10 48.3 EW   
139 18 00 00.75 +07 26 22.0 LB   
140 18 00 03.71 +04 41 21.4 RRAB 
141 18 00 07.82 +04 30 27.0 SR:  
142 18 00 12.49 +06 26 26.1 EW   
143 18 00 32.68 +06 50 24.0 LB   
144 18 00 37.01 +08 55 07.7 RRAB 
145 18 00 37.83 +05 06 00.7 EA   
146 18 00 56.85 +09 21 29.9 LB   
147 18 00 59.38 +07 21 22.4 RRC: 
148 18 01 00.83 +04 07 51.8 EW   
149 18 01 05.60 +06 21 14.1 RRAB 
150 18 02 03.93 +07 08 06.6 EW   
151 18 02 11.42 +07 26 42.7 LB   
152 18 02 12.50 +06 48 14.4 SR:  
153 18 02 13.54 +06 52 59.5 EB   
154 18 02 14.03 +08 12 18.4 EW   
155 18 02 23.14 +08 01 39.6 RRAB 
156 18 02 29.47 +07 12 47.6 RRAB 
157 18 02 36.98 +05 32 12.0 RRAB 
158 18 02 41.85 +04 33 02.0 EW   
159 18 02 49.98 +08 43 57.7 EW   
160 18 02 54.90 +06 34 10.1 EW   
161 18 02 57.07 +06 02 09.7 EB   
162 18 02 59.80 +07 22 02.3 LB   
163 18 03 05.98 +05 03 01.3 SR   
164 18 03 07.17 +04 20 41.4 LB   
165 18 03 10.52 +03 57 14.6 EW   
166 18 03 24.13 +05 16 56.1 LB   
167 18 03 24.67 +06 40 58.6 LB   
168 18 03 51.48 +08 05 36.6 EB   
169 18 04 04.70 +03 54 19.7 LB   
170 18 04 16.53 +08 23 39.1 LB   
171 18 04 22.43 +08 12 34.0 SR   
172 18 04 34.12 +04 43 20.6 EW   
173 18 04 39.62 +07 31 03.3 RRAB 
174 18 04 43.43 +05 53 27.3 RRAB 
175 18 04 51.24 +08 03 57.8 RRC  
176 18 04 58.48 +03 46 03.9 EB   
177 18 05 00.41 +06 22 51.1 LB   
178 18 05 27.92 +07 16 51.1 LB   
179 18 05 29.88 +06 07 53.3 EB   
180 18 05 35.60 +08 35 00.0 RRAB 
181 18 05 39.42 +05 10 11.8 HADS 
182 18 05 42.75 +05 20 18.1 EB   
183 18 05 49.45 +07 55 12.8 SR:  
184 18 05 54.43 +07 13 48.2 RRAB 
185 18 06 05.81 +05 54 54.4 RRAB 
186 18 06 12.13 +05 06 37.8 RRAB:
187 18 06 15.28 +07 06 35.1 RRC  
188 18 06 18.63 +08 55 20.5 EB   
189 18 06 30.80 +08 22 06.0 EB   
190 18 06 31.82 +03 59 52.8 SR:  
191 18 06 32.78 +04 29 32.2 RRAB 
192 18 06 36.54 +05 00 43.6 RRAB 
193 18 06 38.35 +08 02 52.2 EA   
194 18 06 46.37 +08 50 11.6 SR   
195 18 06 51.41 +05 09 30.2 EW   
196 18 06 56.18 +06 27 48.4 RRC  
197 18 07 05.65 +06 05 14.9 LB   
198 18 07 12.73 +04 58 10.3 EW   
199 18 07 16.39 +05 16 52.2 LB   
200 18 07 21.54 +05 32 13.3 SR   
201 18 07 36.93 +07 26 35.9 RRAB 
202 18 07 41.28 +06 45 28.6 SR:  
203 18 07 49.65 +05 27 51.6 EA   
204 18 07 56.04 +04 56 46.7 EW   
205 18 07 59.01 +04 45 55.6 LB   
206 18 08 01.92 +05 23 57.2 LB   
207 18 08 03.10 +06 14 14.3 SR   
208 18 08 10.12 +05 40 58.3 RRC: 
209 18 08 11.17 +03 52 53.6 RRAB 
210 18 08 14.53 +04 47 59.9 HADS 
211 18 08 24.30 +06 28 14.0 LB:  
212 18 08 24.31 +05 26 18.7 LB   
